# Table of globular clusters and dwarf spheroidals structural parameters from Vitral 2021 (Table C1). 
# If you use this table, please acknowledge our work (see 'Attribution'): https://gitlab.com/eduardo-vitral/balrogo#attribution 
# All the information of this table is derived in Vitral 2021, apart from the distances, which were taken from Baumgardt et al. 2019. 
# - - DEGREES DEGREES KPC MASYR MASYR MASYR MASYR - ARCMIN ARCMIN 
# ID OTHER_ID RA DEC D PMRA PMDEC ERR_PMRA ERR_PMDEC SD_MODEL RH ERR_RH 
NGC6981         M72                   313.36541       -12.53734  17.00   -1.239   -3.378    0.016    0.014   P       1.13   0.01
NGC7006         Blank                 315.37278        16.18790  40.10   -0.135   -0.646    0.016    0.016   P       0.44   0.01
NGC7078         M15                   322.49304        12.16699  10.22   -0.648   -3.808    0.005    0.005   P       3.12   0.01
NGC7089         M2                    323.36257        -0.82332  10.51    3.451   -2.172    0.007    0.007   S       2.54   0.01
NGC7099         M30                   325.09221       -23.17988   8.00   -0.737   -7.293    0.006    0.006   S       2.16   0.01
NGC7492         Blank                 347.11116       -15.61142  26.55    0.751   -2.315    0.019    0.019   S       1.02   0.03
Bootes          BoodSph               210.00004        14.49996  -1.00   -0.450   -1.036    0.046    0.045   P      12.45   2.86
Carina          PGC19441              100.40293       -50.96613  -1.00    0.526    0.114    0.014    0.014   P       8.71   0.30
Draco           UGC10822              260.05981        57.92121  -1.00    0.039   -0.191    0.012    0.012   S       6.98   0.24
Fornax          ESO356-4               39.99709       -34.44920  -1.00    0.375   -0.342    0.003    0.003   S      14.80   0.07
LeoI            PGC29488              152.11721        12.30651  -1.00   -0.057   -0.116    0.018    0.017   S       2.93   0.05
LeoII           PGC34176              168.36717        22.15282  -1.00   -0.099   -0.148    0.039    0.038   S       2.41   0.09
Sculptor        PGC3589                15.03901       -33.70893  -1.00    0.111   -0.143    0.005    0.005   P       9.71   0.11
Sextans         LEDA88608             153.26204        -1.61463  -1.00   -0.375   -0.001    0.022    0.023   P      21.39   1.28
UrsaMinor       PGC54074              227.29745        67.21439  -1.00   -0.127    0.054    0.010    0.010   S      13.97   0.74
